n,alpha,beta,density,seed,base_cost,my_cost,rival_cost,gap_perc,status,time
10,0.0,1.0,0.2,4838,14.95,4.48,4.48,-0.00,WIN (BOTH),3.5436
10,0.0,0.5,1.0,5930,7.05,2.86,2.86,0.00,WIN (BOTH),4.1515
10,0.0,0.5,0.5,2458,7.46,3.47,3.47,0.00,WIN (BOTH),3.9927
10,0.0,0.5,0.2,5548,10.99,5.11,5.11,0.00,WIN (BOTH),4.0817
10,0.0,1.0,0.5,18,10.14,3.86,3.86,0.00,WIN (BOTH),3.3308
10,0.0,2.0,0.2,1834,9.25,4.45,4.45,0.00,WIN (BOTH),3.3494
10,0.0,1.0,1.0,9390,7.12,2.73,2.73,0.00,WIN (BOTH),3.4488
10,0.0,2.0,0.5,5532,9.69,4.69,4.69,0.00,WIN (BOTH),3.3585
10,0.0,2.0,1.0,9285,7.16,3.22,3.22,0.00,WIN (BOTH),3.4102
10,0.0,4.0,0.5,7704,9.21,3.01,3.01,0.00,WIN (BOTH),3.3752
10,0.0,4.0,0.2,8154,19.41,6.42,6.42,0.00,WIN (BOTH),3.3548
10,0.0,4.0,1.0,4851,5.65,2.64,2.64,0.00,WIN (BOTH),3.3145
10,1.0,0.5,0.2,3664,235.76,177.95,179.58,-0.91,WIN (BOTH),3.9062
10,1.0,0.5,0.5,3158,173.95,160.92,160.92,-0.00,WIN (BOTH),3.9225
10,1.0,1.0,0.2,1742,4044.18,4038.77,4038.41,0.01,BEAT BASE,3.3196
10,1.0,0.5,1.0,2122,117.70,105.87,105.87,0.00,WIN (BOTH),3.8743
10,1.0,1.0,1.0,8399,1620.79,1620.79,1620.79,-0.00,WIN (BOTH),3.3034
10,1.0,1.0,0.5,6836,1277.96,1277.03,1276.80,0.02,BEAT BASE,3.3086
10,1.0,2.0,1.0,1128,465093.01,368712.93,2195.23,16696.08,BEAT BASE,3.3415
10,2.0,0.5,0.2,4128,368.32,270.23,274.88,-1.69,WIN (BOTH),3.9191
10,1.0,4.0,1.0,520,38104542268.01,37620087739.95,2259.03,1665320889.10,BEAT BASE,3.4353
10,2.0,0.5,0.5,8607,256.93,208.62,226.38,-7.85,WIN (BOTH),3.9092
10,1.0,2.0,0.5,7094,702909.89,702909.89,4914.39,14203.10,LOSE,3.3485
10,1.0,4.0,0.2,3670,4210903389.54,4138822677.71,1403.13,294969648.86,BEAT BASE,3.4159
